[11860,10479,36308,30581,32313,32002,34789,30408,11389,14048,11644,23097,10454,32141,9900,27764,10285,28065,24152,36998]
[10946,21621,20897,28988,27764,9900,13092,8819,30845,31281,26128,28368,36998,13826,28410,37401,32020,37565,20143,12656]
[11644,23518,28410,18698,11571,10479,28240,29344,16826,31512,11390,12656,10503,28987,10873,14709,36788,10924,32108,27764]
[10355,30527,11113,37195,10454,32002,10816,14048,37718,36998,12008,21234,11390,16699,31091,28499,29435,28989,10932,24591]
[15898,13466,10355,18698,23221,32533,28065,10503,21314,33685,37195,10506,37718,33126,32313,10339,10285,11269,11571,36156]
[21234,32313,28991,36156,37600,11647,15185,37501,16826,18681,13929,28986,24152,15909,29630,10503,31350,30778,37047,11070]
[31091,8819,21234,20955,8814,31279,37735,21314,36788,29435,14605,28240,30527,28660,10,12857,21621,10355,11647,30845]
[9823,37074,16699,33181,37718,31279,30274,12008,30778,31317,10873,23221,30561,8814,37383,37564,28986,21314,8807,32141]
[37564,18681,32357,32204,37600,18146,9823,20955,13929,28986,14048,17664,28660,21621,30701,10,32352,36156,12008,37565]
[15352,10946,21312,36775,11326,24152,28986,12435,21073,11389,31512,37047,10992,8821,30163,36317,15898,37067,13826,32002]
[36156,21314,36317,32533,29566,9900,10454,10970,21312,32002,8807,8819,31279,32204,10877,10924,24591,28240,11070,11863]
[21234,28793,31091,26932,10970,37195,10924,36788,32352,13092,14709,18698,30845,27364,37616,8807,32357,31512,37564,12656]
[20143,24152,11860,10924,37677,18698,11644,32306,34179,11571,37047,11390,31005,28240,23221,32204,27764,12008,31678,30408]
[28368,36171,11860,10454,9900,14605,9823,8814,16826,32533,29726,37600,34179,10873,37418,30581,28065,37501,21595,29630]
[30845,37067,10,11326,17664,8821,31281,30313,28988,37401,10506,37195,32023,11113,18146,37565,28987,27364,8819,11070]
[24591,33181,14855,32023,28240,37047,32029,10932,37195,37401,33126,15912,31034,28065,30408,26172,37067,13769,32204,15352]
[31317,21671,29344,37600,32002,14709,2122,23221,14855,28240,30845,13929,36308,28065,8819,37418,30581,10355,34789,21595]
[12857,30527,28341,31091,16826,31281,37735,36308,21671,14048,32020,11647,31512,10503,11389,32043,24152,10877,30561,36975]
[13466,15909,31091,32352,37195,23518,32141,10877,10816,21671,29972,15352,17664,28793,28499,11860,14605,20955,9823,28991]
[21621,16826,20897,11571,36788,12857,16699,28499,37565,28660,28410,18146,28368,26932,37074,21234,29344,36317,13092,11070]
[10355,23097,8821,8807,18698,29630,13769,32020,30561,32533,32352,31678,34179,21721,28065,14810,37383,14605,32812,13466]
[32313,18698,30778,10089,15185,8567,8814,10877,11269,37047,31678,36788,16826,37195,29972,21721,28065,28991,15909,32002]
[10506,30313,30845,17664,16826,9823,10089,9900,8821,12857,36317,37677,30581,13420,11863,32043,13826,33685,9130,32029]
[23097,32357,29566,31091,20143,37564,18698,12008,8567,31281,20897,10924,32616,32313,31678,21595,34179,9900,32002,37383]
[36788,14855,37074,30163,11070,10873,10932,28991,30778,28793,34179,10924,21234,28988,16826,15225,21621,23221,28987,37047]
[37677,28065,36308,33181,14709,12008,21595,28986,24591,10946,28793,11571,21234,20897,23097,10970,14855,26128,13466,23518]
[14709,31317,11860,28987,26932,10873,32313,21312,37565,31279,30313,10506,21073,30527,36317,14810,10454,11269,33181,11644]
[10946,8819,27764,32108,11326,36975,28660,12656,31512,30581,18681,18146,10339,14048,11863,11571,32204,36171,11070,28793]
[30561,37383,37600,13420,8821,34179,28410,11644,32357,27764,37074,15898,28065,37780,33181,10506,14605,32020,10089,10285]
[11860,10506,32023,15185,10946,32313,32204,28986,28987,32357,30845,20143,11113,37418,36171,28240,15909,10873,23518,10479]
[28368,10970,20897,36775,31512,16826,10355,10503,32029,10285,29726,11571,11644,29630,10946,9823,9939,28341,11269,18146]
[29726,9939,36308,32023,37401,31091,23221,18146,36156,10873,11390,13769,27764,28991,10946,15225,26932,32141,10924,37718]
[23097,11860,31512,37600,36317,15225,14709,13092,13826,34179,32023,30527,31279,28991,15185,10816,21314,10873,30163,37074]
[15185,36171,31281,31678,30408,9900,29435,31814,37565,31350,32043,30527,21178,32204,12857,21312,14605,30581,36317,28793]
[13420,37600,37780,36788,11571,30274,24152,10873,29344,36317,13929,11863,15352,20143,36156,15909,10406,28065,11113,21314]
[31317,10406,37780,30845,37383,36171,37047,24591,10924,20897,30561,13826,37501,27364,14709,32352,29972,32357,11269,9823]
[27764,20955,10873,30581,32108,33685,10089,33126,11860,15352,17664,28991,32533,15225,14709,11647,11326,14048,8814,13466]
[21621,12857,10339,21234,14709,32108,31678,31091,28989,14605,8807,30701,15898,23097,30408,21671,13929,28499,33685,11070]
[32306,24591,21671,32023,34789,14605,20143,27364,34179,32108,36156,13826,20955,11070,32141,30527,10503,18146,15898,32313]
[10503,28793,30581,12435,34789,28240,30274,21376,11571,23097,35698,21234,10924,37074,8814,10816,31034,10479,26172,15909]
[31317,13420,31281,10932,12435,11269,21234,30313,23221,21314,15225,37047,32020,24152,30845,32357,14048,13769,11647,9939]
[9130,28341,13420,13826,9939,18681,20955,32023,36308,10946,31350,31678,31317,30163,31279,20143,34789,32108,11390,33685]
[13929,10506,24591,10,30274,36171,11269,32313,29726,14709,12857,10946,21621,20143,10877,30527,11389,21312,29630,36775]
[33685,37735,21721,17664,37047,21671,14709,21234,10873,16826,28240,13420,37067,21376,27364,33181,10355,37564,11390,32029]
[18146,11571,18681,37565,28499,28240,28986,8821,13466,33126,23518,12656,8807,29726,30313,37501,29344,16699,30561,20897]
[10506,31279,20955,27764,28240,31034,8819,31814,26932,13826,37677,33685,20897,13420,31350,8807,37780,37600,21178,10816]
[10877,10932,12857,36975,32141,15912,27364,30778,13826,37074,30274,37735,32002,10355,29972,18681,10479,34179,8567,10503]
[10503,28410,28793,9900,37780,29566,14605,24152,15352,32313,9823,12008,11113,32108,37564,37735,18146,37401,14810,15898]
[23097,36998,10970,36975,37564,37047,32616,10285,33181,15225,31279,13769,32002,14709,21314,27364,10339,31350,37677,20897]
[28991,11863,37501,28368,12857,10877,13826,11070,8814,15898,37565,32141,37718,37564,29435,31350,21234,23518,30561,18698]
[11070,21178,10355,26172,2122,10946,32357,14810,37564,9823,33126,10877,37067,28991,15225,13092,30845,12656,33685,28341]
[31350,36156,15912,28987,9939,36317,36775,23221,30527,8807,36788,24591,37383,15898,21312,18681,21234,2122,18698,28065]
[36156,30701,36171,15912,28986,30845,10,10877,32533,10924,34789,8819,37565,37067,18698,31281,8567,37600,37735,28368]
[15225,28410,23221,31005,32023,26172,10873,37564,8819,34179,37677,31281,10877,27364,26932,10924,10932,12435,10089,31350]
[37401,12435,10506,37501,36308,33181,15225,14048,2122,30845,23518,13929,36171,30701,33126,37047,26172,32020,29972,10816]
[30527,37735,10339,37401,9939,32204,28065,8819,11571,37600,18146,30163,26172,10970,13466,10992,31034,32533,30274,36317]
[37401,36775,31279,10479,10089,9823,10503,18146,37565,31005,37718,10285,11269,37383,36975,34179,13929,14605,23221,30527]
[21234,8821,37564,21073,33126,8819,8807,9130,30845,31279,14605,10503,28341,32141,21595,36775,10506,29566,34179,32313]
[10877,31005,13769,28499,10873,21595,11390,28988,11863,36788,9823,10946,28065,21312,28368,11644,37600,15898,12008,17664]
[28660,18698,37600,31512,11390,36788,21312,37616,10970,10924,21671,11647,30408,10946,14048,21314,10339,27764,20955,15225]
[21621,26172,28341,16699,32108,24152,37565,8819,37600,33685,11070,11389,18681,21234,14048,29630,17664,11571,31034,10924]
[13420,32357,29566,8807,32043,37677,10946,16699,24591,24152,29726,28988,10970,18698,32023,32306,37501,28986,34179,37047]
[32306,21721,37401,26128,14855,13466,14605,10877,11269,30561,37067,37564,23221,11389,26172,32043,30527,11571,37677,20897]
[33685,35698,20955,10932,37600,12435,21671,28341,8807,21178,15912,11390,37074,37418,10355,37195,28989,37616,31279,12656]
[37501,36156,11269,8814,31279,11860,37718,10946,32533,10406,37401,23097,28988,32204,30778,36998,14855,36317,21376,12857]
[30778,30163,10946,13769,28240,10,30527,32616,31281,13929,12008,13420,31678,10339,10503,29566,11113,10992,15909,10873]
[30701,37074,26932,28660,37565,30527,10339,29566,10089,15912,10970,36975,28991,32357,14855,9823,32141,10932,21073,30274]
[23518,21376,17664,13420,32029,21073,36156,32023,12435,37565,11269,32108,10089,28065,32141,18146,26932,34789,27364,37401]
[32002,37047,10946,32357,12656,32020,36171,28065,28660,20143,36317,36998,11389,32616,15185,30845,26172,11326,10355,21376]
[29344,31279,36156,10873,8819,21314,29726,11326,10,32023,9900,10816,30701,37501,11860,10992,2122,20955,28986,14605]
[34789,37074,37501,32313,28410,30408,29726,10503,28793,10454,14709,14048,36308,28989,8814,14810,37047,32043,26128,9823]
[11860,13092,10924,11644,30701,10992,32306,21595,31034,10877,31279,32533,10479,37195,13769,13420,15225,28988,23097,30408]
[11571,28989,21178,28410,11389,37195,30581,27364,10970,36317,31034,36975,37047,23221,30527,30561,11860,10506,8814,36171]
[31512,30163,8567,15352,14810,28987,28341,37565,37677,11863,11571,32352,31317,10339,30778,36975,13092,32812,33126,28368]
